,value,n_gal,h_cdt,h_riv,indicator,prior_var,post_var,prior_sd,post_sd,value_90,q_pred
alpha_lc_00,53.60958968600001,13.533901041666658,lc,16.51120498614958,alpha,500.904682861262,321.7622800317945,22.380899956464262,17.937733414001737,72.79341755599656,97.503722532
alpha_lc_01,53.010168182,13.657157312925175,lc,16.51120498614958,alpha,649.5063756374045,343.61453541120875,25.485414959097774,18.536842649469968,72.19399605199655,94.728913056
alpha_lc_02,52.656146816,13.75220153061224,lc,16.51120498614958,alpha,569.6944513035795,306.08288227916137,23.868272901564946,17.49522455640857,71.83997468599655,92.58922799999999
alpha_lc_03,52.017051985,13.824836309523807,lc,16.51120498614958,alpha,667.7630995429506,432.599791075095,25.841112583303193,20.79903341684644,71.20087985499654,90.95403592800001
alpha_lc_04,51.433721591,13.909577168367353,lc,16.51120498614958,alpha,630.3305179062145,369.9319408547118,25.106384006985444,19.233614867068326,70.61754946099654,89.04630546
alpha_lc_05,50.938392439,13.997924319727897,lc,16.51120498614958,alpha,687.1693102999251,338.93140460290647,26.213914440615792,18.410089749995965,70.12222030899655,87.057388332
alpha_lc_06,50.309231823000005,14.08771088435375,lc,16.51120498614958,alpha,552.3115221986651,265.7721545443359,23.50130894649626,16.302519883267614,69.49305969299655,85.036066416
alpha_lc_07,49.941555515,14.147053571428586,lc,16.51120498614958,alpha,546.5717127184836,261.21343274756373,23.37887321319151,16.16209864923376,69.12538338499655,83.700112824
alpha_lc_08,49.793837341999996,14.187974596088447,lc,16.51120498614958,alpha,603.990040603076,292.81902221686624,24.576208832996922,17.111955534563144,68.97766521199654,82.778877252
alpha_lc_09,49.440757851,14.22986734693879,lc,16.51120498614958,alpha,559.2866441477998,343.49105921699044,23.649241936007165,18.53351178856804,68.62458572099655,81.83576581199999
alpha_lc_10,49.427149081,14.263805059523792,lc,16.51120498614958,alpha,590.951755325826,324.18106145086966,24.309499281676413,18.005028782283844,68.61097695099656,81.07174234800001
alpha_lc_11,49.070249828,14.312890306122437,lc,16.51120498614958,alpha,513.0438359235385,361.0414236432158,22.650470986792715,19.001090064604604,68.25407769799655,79.966709604
alpha_lc_12,48.979550273,14.353812606292525,lc,16.51120498614958,alpha,603.8397703316438,347.8785168709323,24.573151412296383,18.65150173232526,68.16337814299655,79.04544544800001
alpha_lc_13,48.357036224,14.405056335034029,lc,16.51120498614958,alpha,295.55821464630264,239.0634188217282,17.191806613800154,15.461675808971297,67.54086409399655,77.891819832
alpha_lc_14,48.926836416,14.440256696428586,lc,16.51120498614958,alpha,600.0340424611921,376.874431572234,24.495592306804753,19.41325401812468,68.11066428599655,77.099370984
alpha_lc_15,48.743800745,14.482095238095244,lc,16.51120498614958,alpha,429.84013337189805,256.4410110629495,20.73258626828544,16.013775665437226,67.92762861499655,76.157479944
alpha_lc_16,49.014299179,14.516267644557818,lc,16.51120498614958,alpha,485.6810258005217,345.24059392721625,22.038172015857434,18.580651063060632,68.19812704899655,75.388173012
alpha_lc_17,48.655454076999995,14.558732355442185,lc,16.51120498614958,alpha,410.39047335782186,361.36273188461337,20.258096489004632,19.00954317927218,67.83928194699655,74.432185092
alpha_lc_18,48.752889711,14.578557610544213,lc,16.51120498614958,alpha,354.56073459814263,302.04447793232646,18.82978317979638,17.379426858568337,67.93671758099654,73.98586872
alpha_lc_19,48.789886732,14.58093749999999,lc,16.51120498614958,alpha,566.6692359519817,497.60027349590416,23.804815394200848,22.306955720041767,67.97371460199655,73.932291396
alpha_lc_20,48.779926075,14.622554740646267,lc,16.51120498614958,alpha,596.8471268123818,453.6588341495857,24.43045490391822,21.299268394702803,67.96375394499654,72.99538236
alpha_lc_21,48.747675077,14.673297619047611,lc,16.51120498614958,alpha,540.6401825951052,282.5241749071607,23.251670533428456,16.80845545870175,67.93150294699655,71.853032196
alpha_lc_22,48.368164969,14.72021322278914,lc,16.51120498614958,alpha,621.4126550275738,392.64474662982536,24.92814985167519,19.815265494810443,67.55199283899654,70.796843712
alpha_lc_23,47.93212904399999,14.773469387755096,lc,16.51120498614958,alpha,473.9386331406596,330.624293927304,21.770131674858092,18.183077130323788,67.11595691399654,69.59791303200001
alpha_lc_24,47.581396006999995,14.822669217687078,lc,16.51120498614958,alpha,663.8362313917368,316.9553146538884,25.7650195302029,17.80323888099827,66.76522387699654,68.49030078
alpha_lc_25,47.464889511,14.878520620748267,lc,16.51120498614958,alpha,720.4078012209089,329.46596260758224,26.840413581405727,18.151197277523657,66.64871738099654,67.232944908
alpha_lc_26,46.978278405,14.939203231292547,lc,16.51120498614958,alpha,652.0676412160527,384.00567927889483,25.535615152489527,19.596062851473377,66.16210627499655,65.86682634
alpha_lc_27,46.064709867,15.014838435374159,lc,16.51120498614958,alpha,584.4431713552734,366.11152012675575,24.175259488892223,19.13404087292477,65.24853773699655,64.164087036
alpha_lc_28,45.470167348000004,15.081328124999997,lc,16.51120498614958,alpha,610.8905943639495,313.0798564336635,24.716201050403143,17.694062745273158,64.65399521799655,62.667236663999994
alpha_lc_29,44.617231915,15.151579294217685,lc,16.51120498614958,alpha,509.3401826694359,333.71582926011365,22.56856625196727,18.267890662583724,63.801059784996546,61.085705651999994
alpha_lc_30,43.649129808000005,15.240416666666668,lc,16.51120498614958,alpha,605.0937055847139,494.6271696370998,24.59865251563008,22.240215143678352,62.83295767799655,59.08575222
alpha_lc_31,42.399888379000004,15.34787032312925,lc,16.51120498614958,alpha,616.4406497527493,455.28520778988,24.828222847250853,21.337413334091835,61.58371624899655,56.666699568000006
alpha_lc_32,41.481337556,15.442928784013606,lc,16.51120498614958,alpha,631.7720836884282,488.3529373520143,25.135076759151307,22.098708952154066,60.66516542599655,54.52669393199999
alpha_lc_33,40.847415902,15.526109693877554,lc,16.51120498614958,alpha,616.2205851042521,445.1932595052622,24.823790707791833,21.09960330208277,60.03124377199655,52.654081896
alpha_lc_34,39.187605486,15.644596194727894,lc,16.51120498614958,alpha,561.6650680887658,467.2990392608613,23.699474004474567,21.617100621056036,58.37143335599655,49.98665196
alpha_lc_35,37.138818445,15.737607142857161,lc,16.51120498614958,alpha,751.6419112710776,593.9195868695579,27.416088547987247,24.370465462718553,56.32264631499655,47.89274094
alpha_lc_36,37.706864107,15.86157334183672,lc,16.51120498614958,alpha,718.650647753993,673.04143940884,26.807660243930147,25.943042215762592,56.89069197699655,45.10194915599999
alpha_lc_37,34.114656241999995,16.001614370748314,lc,16.51120498614958,alpha,771.6653417246637,585.4920744960257,27.778865018655168,24.19694349491327,53.298484111996544,41.949272412
alpha_lc_38,31.690040301999996,16.111142113095216,lc,16.51120498614958,alpha,685.0722455200787,358.924873449767,26.173884799931376,18.945312703931993,50.87386817199655,39.483526788
alpha_lc_39,26.3007087,16.27390433673468,lc,16.51120498614958,alpha,468.19925714534406,432.1191231887401,21.63791249509398,20.787475151849012,45.48453656999655,35.8193385576
alpha_lc_40,25.587148765,16.398542623299317,lc,16.51120498614958,alpha,492.38864740110324,246.50565461981543,22.189832072395305,15.70049854685562,44.77097663499654,33.0134165676
alpha_lc_41,25.258750925999998,16.548151785714264,lc,16.51120498614958,alpha,1224.232046617603,1050.9295945250085,34.98902751746043,32.418044273598746,44.442578795996546,29.6453368764
alpha_lc_42,29.472890502,16.6831726190476,lc,16.51120498614958,alpha,1693.7967531695895,1403.46267572759,41.155762089525076,37.46281724226824,48.65671837199655,26.605677506399996
alpha_lc_43,29.401511897,16.836485969387752,lc,16.51120498614958,alpha,1614.359157891999,1361.6857015982619,40.1790885647248,36.90102575265709,48.58533976699655,23.1542073828
alpha_lc_44,25.894580336999997,16.984822172619058,lc,16.51120498614958,alpha,2087.069366184896,1733.1629766088638,45.68445431637436,41.63127402096726,45.07840820699654,19.814785455600003
alpha_lc_45,32.662844451,17.10598405612242,lc,16.51120498614958,alpha,2595.9260196135046,1932.276207287293,50.95023081020835,43.95766380606791,51.84667232099655,17.0881669944
alpha_lc_46,33.116515111,17.173484587585026,lc,16.51120498614958,alpha,13685.720367179634,9147.419956099007,116.98598363556052,95.64214529222464,52.30034298099655,15.568556248800002
alpha_lc_47,32.285303022,17.328965986394557,lc,16.51120498614958,alpha,7081.806777333672,1342.5290138914331,84.15347157030226,36.64053784937433,51.46913089199655,12.0682695672
alpha_lc_48,28.214029221999997,17.507526573129258,lc,16.51120498614958,alpha,1262.8698541994754,1092.6120481017858,35.536880197894064,33.054682695524185,47.39785709199654,8.048411100000001
alpha_lc_49,25.181733819,17.68251041666667,lc,16.51120498614958,alpha,2636.7920659297465,1619.5098073047275,51.34970365960982,40.2431336665614,44.36556168899655,4.2313483368
alpha_mc_00,54.182232057,13.533901041666658,mc,16.72120498614958,alpha,565.5395372062685,287.4833094482615,23.78107519029088,16.955332773150207,73.34330042080758,102.23188667999999
alpha_mc_01,54.006906857,13.657157312925175,mc,16.72120498614958,alpha,434.34645380105223,232.4342994723004,20.840980154518938,15.245796124581373,73.16797522080758,99.45707742
alpha_mc_02,53.642934058,13.75220153061224,mc,16.72120498614958,alpha,428.43146758847297,312.16677928739887,20.698586125348587,17.668242110843934,72.80400242180758,97.31739254399999
alpha_mc_03,53.140748325,13.824836309523807,mc,16.72120498614958,alpha,457.7182351592258,256.82134463759445,21.394350543057524,16.025646465512537,72.30181668880758,95.68220058
alpha_mc_04,52.824291331000005,13.909577168367353,mc,16.72120498614958,alpha,572.8231920758631,450.25117693041506,23.933724993737666,21.219122906718248,71.98535969480758,93.77447029199999
alpha_mc_05,52.161233371,13.997924319727897,mc,16.72120498614958,alpha,518.6071509283408,265.3482104104184,22.772947787415244,16.289512282767046,71.32230173480758,91.78555330800002
alpha_mc_06,51.768107752,14.08771088435375,mc,16.72120498614958,alpha,728.0830537144379,498.81123352847266,26.9830141702968,22.33408233011763,70.92917611580758,89.764231572
alpha_mc_07,51.234171575,14.147053571428586,mc,16.72120498614958,alpha,673.5473504350512,424.95800258238216,25.95279080243686,20.61450951593033,70.39523993880758,88.428278088
alpha_mc_08,50.874502021000005,14.187974596088447,mc,16.72120498614958,alpha,567.7337017709866,253.41707547756366,23.827163107910824,15.919078977050264,70.03557038480758,87.507042588
alpha_mc_09,50.691962976000006,14.22986734693879,mc,16.72120498614958,alpha,547.0434898385992,284.99275720211324,23.38896085418502,16.88172850161124,69.85303133980759,86.56393122
alpha_mc_10,50.627723636000006,14.263805059523792,mc,16.72120498614958,alpha,506.5035710866145,153.4894922942817,22.50563420760709,12.389087629615092,69.78879199980759,85.799907828
alpha_mc_11,50.013409993,14.312890306122437,mc,16.72120498614958,alpha,569.4081906167847,212.0875501303789,23.86227547022255,14.563225952047125,69.17447835680758,84.694875156
alpha_mc_12,50.038002085,14.353812606292525,mc,16.72120498614958,alpha,567.1633306566066,289.50105939108346,23.815191174051208,17.014730658787503,69.19907044880759,83.773611072
alpha_mc_13,49.787918074,14.405056335034029,mc,16.72120498614958,alpha,542.6627509991463,222.1877217407572,23.29512290156775,14.905962623754201,68.94898643780758,82.619985564
alpha_mc_14,49.44331401,14.440256696428586,mc,16.72120498614958,alpha,574.3240825222256,368.3028155204489,23.96505961858275,19.191217145362327,68.60438237380758,81.82753675199999
alpha_mc_15,49.353414134,14.482095238095244,mc,16.72120498614958,alpha,581.5308807535727,401.46618878878905,24.114951394385447,20.03662119192727,68.51448249780758,80.88564578399999
alpha_mc_16,49.011520261,14.516267644557818,mc,16.72120498614958,alpha,534.0794367798276,321.4761801971075,23.110158735496118,17.929756835972636,68.17258862480759,80.11633896
alpha_mc_17,48.973560471999996,14.558732355442185,mc,16.72120498614958,alpha,605.7950882332461,365.99208406262505,24.612904912530055,19.130919582252837,68.13462883580758,79.160351112
alpha_mc_18,48.87256387,14.578557610544213,mc,16.72120498614958,alpha,484.06506962092504,347.24724925361386,22.001478805319543,18.63457134611939,68.03363223380758,78.714034776
alpha_mc_19,48.893433925,14.58093749999999,mc,16.72120498614958,alpha,499.83085702747,338.1610553750246,22.356897303236646,18.389155917959492,68.05450228880758,78.660457452
alpha_mc_20,48.897735411999996,14.622554740646267,mc,16.72120498614958,alpha,473.4048696454948,285.03414361508044,21.757869143036384,16.88295423245234,68.05880377580758,77.723548488
alpha_mc_21,48.698755397,14.673297619047611,mc,16.72120498614958,alpha,463.35024779330615,315.48114289947296,21.52557195043389,17.761788842891725,67.85982376080759,76.581198396
alpha_mc_22,48.924894808000005,14.72021322278914,mc,16.72120498614958,alpha,495.96723543413117,332.379979044347,22.27032185295334,18.231291206174813,68.08596317180758,75.52501002
alpha_mc_23,48.591699936000005,14.773469387755096,mc,16.72120498614958,alpha,367.1104503592522,348.64719568185564,19.160126574718973,18.67209671359528,67.75276829980758,74.32607941199998
alpha_mc_24,48.989748238999994,14.822669217687078,mc,16.72120498614958,alpha,635.3321783823689,469.4108321418127,25.205796523465963,21.6658909842594,68.15081660280757,73.21846726800001
alpha_mc_25,48.755394312,14.878520620748267,mc,16.72120498614958,alpha,558.6756931912518,270.6607314700852,23.63632148180532,16.451769858288355,67.91646267580758,71.961111504
alpha_mc_26,48.210937099,14.939203231292547,mc,16.72120498614958,alpha,570.387668182956,318.43622244906913,23.882790209331823,17.844781378573096,67.37200546280758,70.594993044
alpha_mc_27,47.780192355,15.014838435374159,mc,16.72120498614958,alpha,812.454145599571,467.51917446458674,28.503581276737332,21.622191712788663,66.94126071880757,68.892253884
alpha_mc_28,47.496903794,15.081328124999997,mc,16.72120498614958,alpha,523.2133568024583,388.9035098306948,22.87385749720537,19.72063664871636,66.65797215780758,67.39540362
alpha_mc_29,46.884588683000004,15.151579294217685,mc,16.72120498614958,alpha,652.1354028464016,338.4139459479628,25.53694192432605,18.396030711758524,66.04565704680758,65.813872752
alpha_mc_30,46.037907043000004,15.240416666666668,mc,16.72120498614958,alpha,580.3418504218163,343.08579601657937,24.090285395192318,18.52257530735344,65.19897540680759,63.813919464
alpha_mc_31,44.81178475,15.34787032312925,mc,16.72120498614958,alpha,586.3471001417173,442.4322662992299,24.214605099850736,21.03407393490928,63.97285311380758,61.39486702800001
alpha_mc_32,43.573988356,15.442928784013606,mc,16.72120498614958,alpha,810.1347322430373,362.2056502981756,28.46286584732882,19.03170119296159,62.73505671980758,59.254861536
alpha_mc_33,42.612585019,15.526109693877554,mc,16.72120498614958,alpha,581.9089871248963,495.57681361703504,24.122789787354534,22.261554609169483,61.77365338280758,57.38224964399999
alpha_mc_34,41.520155339,15.644596194727894,mc,16.72120498614958,alpha,585.3138240624933,396.98074583513323,24.193259889119805,19.92437566989574,60.68122370280758,54.71481996
alpha_mc_35,40.787354868,15.737607142857161,mc,16.72120498614958,alpha,567.2416715049349,405.64129127006214,23.816835883570572,20.140538504967093,59.94842323180758,52.620909084
alpha_mc_36,38.99005254,15.86157334183672,mc,16.72120498614958,alpha,560.0330084583567,438.97650326478663,23.665016553097036,20.951766113260874,58.15112090380758,49.830117515999994
alpha_mc_37,37.043706311,16.001614370748314,mc,16.72120498614958,alpha,746.7369197389245,502.6616269704272,27.32648751191643,22.420116569064202,56.20477467480758,46.67744106
alpha_mc_38,37.221376962,16.111142113095216,mc,16.72120498614958,alpha,720.97120040849,559.7506141279308,26.850906882421867,23.6590493073566,56.38244532580758,44.211695616
alpha_mc_39,33.245091261999995,16.27390433673468,mc,16.72120498614958,alpha,744.5517494658855,410.7923392841863,27.286475577946767,20.268012711762992,52.406159625807575,40.547507688
alpha_mc_40,29.100650739000002,16.398542623299317,mc,16.72120498614958,alpha,1135.8995539965315,454.8777289276448,33.70310896633323,21.327862736984333,48.26171910280758,37.741585896000004
alpha_mc_41,25.822164775999997,16.548151785714264,mc,16.72120498614958,alpha,521.3836524227588,250.3507053813243,22.833826933362676,15.822474692074065,44.98323313980758,34.3735064856
alpha_mc_42,25.175730926,16.6831726190476,mc,16.72120498614958,alpha,1382.1923216999562,1020.3059249733777,37.177847190228164,31.942227927515916,44.33679928980758,31.3338473604
alpha_mc_43,27.898489418,16.836485969387752,mc,16.72120498614958,alpha,1188.160938552334,969.6555329165084,34.469710450659925,31.139292428000164,47.059557781807584,27.882377510400005
alpha_mc_44,29.950873253,16.984822172619058,mc,16.72120498614958,alpha,2007.129128169004,1604.7923233998206,44.80099472298583,40.059859253370085,49.111941616807584,24.5429558532
alpha_mc_45,28.3730892,17.10598405612242,mc,16.72120498614958,alpha,1305.2247824427984,1147.7553172991288,36.12789479671903,33.87853770898515,47.53415756380758,21.8164903668
alpha_mc_46,25.488201849,17.173484587585026,mc,16.72120498614958,alpha,1230.5015022021817,1182.1209065579826,35.07850484559143,34.38198520385323,44.64927021280758,20.2968798948
alpha_mc_47,32.772278543,17.328965986394557,mc,16.72120498614958,alpha,2957.071557648927,2203.9500996584406,54.378962454693145,46.94624691770835,51.93334690680758,16.7965938396
alpha_mc_48,33.734098156,17.507526573129258,mc,16.72120498614958,alpha,6947.489184997095,1246.7222920641989,83.35159977467197,35.30895484242204,52.89516651980758,12.7767360888
alpha_mc_49,28.449643236999997,17.68251041666667,mc,16.72120498614958,alpha,11143.024398536914,1154.0531559226351,105.56052481177286,33.9713578757552,47.610711600807576,8.837399718
alpha_hc_00,55.99121431100001,13.533901041666658,hc,17.16120498614958,alpha,412.8331801322676,276.9043599686389,20.31829668383321,16.640443502762746,74.32217718431468,112.14195069600001
alpha_hc_01,55.406500788,13.657157312925175,hc,17.16120498614958,alpha,381.9234627097256,203.67917004854456,19.542862193387272,14.271621142972672,73.73746366131468,109.3671423
alpha_hc_02,55.342326394,13.75220153061224,hc,17.16120498614958,alpha,653.6559270827489,467.68598668412756,25.56669566218421,21.626048799633455,73.67328926731469,107.22745807199999
alpha_hc_03,54.844839384,13.824836309523807,hc,17.16120498614958,alpha,575.3604844784492,315.95731001527963,23.986673059814883,17.775188044442164,73.17580225731467,105.592266612
alpha_hc_04,54.585661353999996,13.909577168367353,hc,17.16120498614958,alpha,518.2341630421081,193.98375155914596,22.76475703894307,13.927804979936571,72.91662422731468,103.6845369
alpha_hc_05,54.142130433999995,13.997924319727897,hc,17.16120498614958,alpha,434.4240591863311,262.13408323089055,20.84284191722259,16.190555371292565,72.47309330731468,101.695620528
alpha_hc_06,54.04404091399999,14.08771088435375,hc,17.16120498614958,alpha,398.90677135516484,218.04526984660322,19.97265058411539,14.766356011101832,72.37500378731468,99.674299404
alpha_hc_07,53.735429391000004,14.147053571428586,hc,17.16120498614958,alpha,383.9673264903101,231.03965952478157,19.595084243001104,15.199988800153163,72.06639226431469,98.338346316
alpha_hc_08,53.627025581999995,14.187974596088447,hc,17.16120498614958,alpha,481.43728357798494,294.74010157884584,21.94167914217107,17.16799643461187,71.95798845531468,97.41711110399999
alpha_hc_09,53.203817058,14.22986734693879,hc,17.16120498614958,alpha,606.3973039597313,221.61880190412194,24.62513561302214,14.886866759131081,71.53477993131469,96.474000024
alpha_hc_10,53.213288318000004,14.263805059523792,hc,17.16120498614958,alpha,463.55132781112,274.05019090745634,21.53024216796272,16.5544613596292,71.54425119131469,95.709976884
